Modellname;C6MDNP;C6ARTP;C6ARB1;C6ARB2;C6VABZ;C6SVK3;C6SVT3
Zubehör;ZB00;00666;beleuchteter Glasfachboden;Sockelbreite 81;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;00667;beleuchteter Glasfachboden;Sockelbreite 91;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;00668;beleuchteter Glasfachboden;Sockelbreite 97;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;00669;beleuchteter Glasfachboden;Sockelbreite 110;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;02320;Panorama T-Einteilung;Sockelbreite 156;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;02321;Panorama T-Einteilung;Sockelbreite 156;m. 6x Dekorschubkasten;1950;ZUBEHÖR: 00
Zubehör;ZB00;02325;Panorama T-Einteilung;Sockelbreite 163;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;02326;Panorama T-Einteilung;Sockelbreite 163;m. 6x Dekorschubkasten;1950;ZUBEHÖR: 00
Zubehör;ZB00;07879;Fachboden;Sockelbreite 68;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;07880;Fachboden;Sockelbreite 54;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;07883;Fachboden, 2er Set;Sockelbreite 68;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;07889;Fachboden, 2er Set;Sockelbreite 54;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;07892;Kleiderstange;Sockelbreite 68;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;07893;Kleiderstange;Sockelbreite 54;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;08828;Schubkasteneinsatz m. Softeinzug;Sockelbreite 54;2 Schubkasten u. Fachboden oben;1950;ZUBEHÖR: 00
Zubehör;ZB00;08829;Schubkasteneinsatz m. Softeinzug;Sockelbreite 68;2 Schubkasten u. Fachboden oben;1950;ZUBEHÖR: 00
Zubehör;ZB00;08830;Schubkasteneinsatz m. Softeinzug;Sockelbreite 81;2 Schubkasten u. Fachboden oben;1950;ZUBEHÖR: 00
Zubehör;ZB00;08831;Schubkasteneinsatz m. Softeinzug;Sockelbreite 91;2 Schubkasten u. Fachboden oben;1950;ZUBEHÖR: 00
Zubehör;ZB00;08832;Schubkasteneinsatz m. Softeinzug;Sockelbreite 97;2 Schubkasten u. Fachboden oben;1950;ZUBEHÖR: 00
Zubehör;ZB00;08833;Schubkasteneinsatz m. Softeinzug;Sockelbreite 110;2 Schubkasten u. Fachboden oben;1950;ZUBEHÖR: 00
Zubehör;ZB00;08835;Schubkasteneinsatz m. Softeinzug;Sockelbreite 54;3 Schubkasten u. Fachboden oben;1950;ZUBEHÖR: 00
